,Harry Potter and the Chamber of Secrets,Unnamed: 1
4210,"Through a haze of rain and pain he dived for the shimmering, sneering face below him",
4211,and saw its eyes widen with fear: Malfoy thought Harry was attacking him.,
4212,"“What the —” he gasped, careening out of Harry’s way.",
4213,Harry took his remaining hand off his broom and made a wild snatch; he felt his fingers,
4214,"close on the cold Snitch but was now only gripping the broom with his legs, and there",
4215,"was a yell from the crowd below as he headed straight for the ground, trying hard not to",
4216,pass out.,
4217,With a splattering thud he hit the mud and rolled off his broom. His arm was hanging at,
4218,"a very strange angle; riddled with pain, he heard, as though from a distance, a good deal",
4219,of whistling and shouting. He focused on the Snitch clutched in his good hand.,
4220,"“Aha,” he said vaguely. “We’ve won.”",
4221,Page 146 of 291,
4222,Get free e-books and video tutorials at www.passuneb.com,
4223,,
4224,,
4225,And he fainted.,
4226,"He came around, rain falling on his face, still lying on the field, with someone leaning",
4227,over him. He saw a glitter of teeth.,
4228,"“Oh, no, not you,” he moaned.",
4229,"“Doesn’t know what he’s saying,” said Lockhart loudly to the anxious crowd of",
4230,"Gryffindors pressing around them. “Not to worry, Harry. I’m about to fix your arm.”",
4231,"“No!” said Harry. “I’ll keep it like this, thanks…”",
4232,"He tried to sit up, but the pain was terrible. He heard a familiar clicking noise nearby.",
4233,"“I don’t want a photo of this, Colin,” he said loudly.",
4234,"“Lie back, Harry,” said Lockhart soothingly. “It’s a simple charm I’ve used countless tim",s
4235,—”,
4236,“Why can’t I just go to the hospital wing?” said Harry through clenched teeth.,
4237,"“He should really, Professor,” said a muddy Wood, who couldn’t help grinning even",
4238,"though his Seeker was injured. “Great capture, Harry, really spectacular, your best yet,",’d
4239,say —”,
4240,"Through the thicket of legs around him, Harry spotted Fred and George Weasley,",
4241,wrestling the rogue Bludger into a box. It was still putting up a terrific fight.,
4242,"“Stand back,” said Lockhart, who was rolling up his jade-green sleeves.",
4243,"“No — don’t —” said Harry weakly, but Lockhart was twirling his wand and a second",
4244,later had directed it straight at Harry’s arm.,
4245,A strange and unpleasant sensation started at Harry’s shoulder and spread all the way,
4246,down to his fingertips. It felt as though his arm was being deflated. He didn’t dare look,
4247,"at what was happening. He had shut his eyes, his face turned away from his arm, but his",
4248,worst fears were realized as the people above him gasped and Colin Creevey began,
4249,clicking away madly. His arm didn’t hurt anymore — nor did it feel remotely like an arm.,
4250,Page 147 of 291,
4251,Get free e-books and video tutorials at www.passuneb.com,
4252,,
4253,,
4254,"“Ah,” said Lockhart. “Yes. Well, that can sometimes happen. But the point is, the bones",
4255,"are no longer broken. That’s the thing to bear in mind. So, Harry, just toddle up to the",
4256,"hospital wing — ah, Mr. Weasley, Miss Granger, would you escort him? — and Madam",
4257,Pomfrey will be able to — er — tidy you up a bit.”,
4258,"As Harry got to his feet, he felt strangely lopsided. Taking a deep breath he looked",
4259,down at his right side. What he saw nearly made him pass out again.,
4260,"Poking out of the end of his robes was what looked like a thick, flesh-colored rubber",
4261,glove. He tried to move his fingers. Nothing happened.,
4262,Lockhart hadn’t mended Harry’s bones. He had removed them.,
4263,Madam Pomfrey wasn’t at all pleased.,
4264,"“You should have come straight to me!” she raged, holding up the sad, limp remainder",
4265,"of what, half an hour before, had been a working arm. “I can mend bones in a second —",
4266,but growing them back —”,
4267,"“You will be able to, won’t you?” said Harry desperately.",
4268,"“I’ll be able to, certainly, but it will be painful,” said Madam Pomfrey grimly, throwing",
4269,Harry a pair of pajamas. “You’ll have to stay the night…”,
4270,Hermione waited outside the curtain drawn around Harry’s bed while Ron helped him,
4271,"into his pajamas. It took a while to stuff the rubbery, boneless arm into a sleeve.",
4272,"“How can you stick up for Lockhart now, Hermione, eh?” Ron called through the curtain",
4273,as he pulled Harry’s limp fingers through the cuff. “If Harry had wanted deboning he,
4274,would have asked.”,
4275,"“Anyone can make a mistake,” said Hermione. “And it doesn’t hurt anymore, does it,",
4276,Harry?”,
4277,"“No,” said Harry, getting into bed. “But it doesn’t do anything else either.”",
4278,Page 148 of 291,
4279,Get free e-books and video tutorials at www.passuneb.com,
4280,,
4281,,
4282,"As he swung himself onto the bed, his arm flapped pointlessly.",
4283,Hermione and Madam Pomfrey came around the curtain. Madam Pomfrey was holding,
4284,a large bottle of something labeled Skele-Gro.,
4285,"“You’re in for a rough night,” she said, pouring out a steaming beakerful and handing it",
4286,to him. “Regrowing bones is a nasty business.”,
4287,"So was taking the Skele-Gro. It burned Harry’s mouth and throat as it went down,",
4288,making him cough and splutter. Still tut-tutting about dangerous sports and inept,
4289,"teachers, Madam Pomfrey retreated, leaving Ron and Hermione to help Harry gulp",
4290,"down some water. “We won, though,” said Ron, a grin breaking across his face. “That",
4291,was some catch you made. Malfoy’s face… he looked ready to kill…”,
4292,"“I want to know how he fixed that Bludger,” said Hermione darkly.",
4293,“We can add that to the list of questions we’ll ask him when we’ve taken the Polyjuice,
4294,"Potion,” said Harry, sinking back onto his pillows. “I hope it tastes better than this",
4295,stuff…”,
4296,"“If it’s got bits of Slytherins in it? You’ve got to be joking,” said Ron.",
4297,"The door of the hospital wing burst open at that moment. Filthy and soaking wet, the",
4298,"rest of the Gryffindor team had arrived to see Harry. “Unbelievable flying, Harry,” said",
4299,George. “I’ve just seen Marcus Flint yelling at Malfoy. Something about having the,
4300,Snitch on top of his head and not noticing. Malfoy didn’t seem too happy.” They had,
4301,"brought cakes, sweets, and bottles of pumpkin juice; they gathered around Harry’s bed",
4302,and were just getting started on what promised to be a good party when Madam,
4303,"Pomfrey came storming over, shouting, “This boy needs rest, he’s got thirty-three bones",
4304,"to regrow! Out! OUT!” And Harry was left alone, with nothing to distract him from the",
4305,stabbing pains in his limp arm.,
4306,"Hours and hours later, Harry woke quite suddenly in the pitch blackness and gave a",
4307,"small yelp of pain: His arm now felt full of large splinters. For a second, he thought that",
4308,was what had woken,
4309,"him. Then, with a thrill of horror, he realized that someone was sponging his forehead in",
4310,the dark.,
4311,Page 149 of 291,
4312,Get free e-books and video tutorials at www.passuneb.com,
4313,,
4314,,
4315,"“Get off!” he said loudly, and then, “Dobby!”",
4316,The house-elf’s goggling tennis ball eyes were peering at Harry through the darkness. A,
4317,"single tear was running down his long, pointed nose.",
4318,"“Harry Potter came back to school,” he whispered miserably. “Dobby warned and",
4319,"warned Harry Potter. Ah sir, why didn’t you heed Dobby? Why didn’t Harry Potter go",
4320,back home when he missed the train?”,
4321,Harry heaved himself up on his pillows and pushed Dobby’s sponge away.,
4322,“What’re you doing here?” he said. “And how did you know I missed the train?”,
4323,Dobby’s lip trembled and Harry was seized by a sudden suspicion.,
4324,“It was you!” he said slowly. “You stopped the barrier from letting us through!”,
4325,"“Indeed yes, sir,” said Dobby, nodding his head vigorously, ears flapping. “Dobby hid",
4326,and watched for Harry Potter and sealed the gateway and Dobby had to iron his hands,
4327,"afterward” — he showed Harry ten long, bandaged fingers — “but Dobby didn’t care,",
4328,"sir, for he thought Harry Potter was safe, and never did Dobby dream that Harry Potter",
4329,would get to school another way!”,
4330,"He was rocking backward and forward, shaking his ugly head.",
4331,"“Dobby was so shocked when he heard Harry Potter was back at Hogwarts, he let his",
4332,"master’s dinner burn! Such a flogging Dobby never had, sir…”",
4333,Harry slumped back onto his pillows.,
4334,"“You nearly got Ron and me expelled,” he said fiercely. “You’d better get lost before my",
4335,"bones come back, Dobby, or I might strangle you.”",
4336,Dobby smiled weakly.,
4337,"“Dobby is used to death threats, sir. Dobby gets them five times a day at home.”",
4338,Page 150 of 291,
4339,Get free e-books and video tutorials at www.passuneb.com,
